0	no_relation	대상	##과	무관	##한	대상
0	org:top_members/employees	단체	##의	고용주	##는	인물
0	org:members	단체	##에	소속	##된	단체
0	org:product	단체	##이	제작	##한	명칭
0	per:title	인물	##의	직함	##은	명칭
0	org:alternate_names	단체	##의	별명	##은	단체
0	per:employee_of	인물	##의	회사	##는	단체
0	org:place_of_headquarters	단체	##의	위치	##는	장소
0	per:product	인물	##이	제작	##한	명칭
0	org:number_of_employees/members	단체	##의	인원	##은	수
0	per:children	인물	##의	자녀	##는	인물
0	per:place_of_residence	인물	##의	거주지	##는	장소
0	per:alternate_names	인물	##의	별명	##은	명칭
0	per:other_family	인물	##의	친척	##은	인물
0	per:colleagues	인물	##의	동료	##는	인물
0	per:origin	인물	##의	출신	##은	장소
0	per:siblings	인물	##의	오누이	##는	인물
0	per:spouse	인물	##의	배우자	##는	인물
0	org:founded	단체	##의	설립	##일	날짜
0	org:political/religious_affiliation	단체	##의	사상	##은	단체
0	org:member_of	단체	##가	소속	##된	단체
0	per:parents	인물	##의	부모	##는	인물
0	org:dissolved	단체	##의	해산	##일	날짜
0	per:schools_attended	인물	##의	학력	##은	단체
0	per:date_of_death	인물	##의	사망	##일	날짜
0	per:date_of_birth	인물	##의	출생	##일	날짜
0	per:place_of_birth	인물	##의	출생	##지	장소
0	per:place_of_death	인물	##의	사망	##지	장소
0	org:founded_by	단체	##의	설립자	##는	인물
0	per:religion	인물	##의	사상	##은	단체
